信心 (Na)	673
單位 (Na)	673
前 (Nes)	672
不僅 (Cbb)	670
提供 (VD)	670
台南 (Nc_LOCATION)	669
』 (PARENTHESISCATEGORY)	668
受 (P)	668
『 (PARENTHESISCATEGORY)	668
那 (Nep)	668
公共 (A)	668
還有 (Caa)	666
標準 (Na)	665
超過 (VJ)	663
另外 (Cbb)	663
共同 (D)	662
現場 (Nc)	660
一定 (A)	660
政見 (Na)	659
雲林 (Nc_LOCATION)	658
大會 (Na)	658
弱勢 (Na)	657
具體 (VH)	657
相當 (Dfa)	655
人員 (Na)	654
表現 (Na)	654
有關 (VJ)	654
權利 (Na)	652
經驗 (Na)	649
曾 (D)	648
法案 (Na)	647
該 (D)	646
時候 (Na)	645
_ (BOUNDARYCATEGORY)	645
而是 (Cbb)	645
過 (Di)	644
經 (P)	644
蔡其昌 (Nb_PERSON)	644
北 (Ncd)	642
去年 (Nd_DATE)	642
團隊 (Na)	641
6 (Neu)	641
登記 (VC)	637
暨 (Caa)	635
年輕人 (Na)	634
談判 (Na)	633
通過 (P)	633
還是 (D)	632
林佳龍 (Nb_PERSON)	628
如下 (VK)	627
改革 (Na)	626
符合 (VJ)	620
海 (Na)	619
由 (Na)	618
思考 (VE)	618
他 (Neqa)	617
廣告 (Na)	616
打 (VC)	616
進一步 (A)	615
連署 (VC)	615
名 (Nf)	614
多 (D)	613
在野黨 (Na)	613
你 (Nh)	612
嗎 (T)	611
面臨 (VK)	610
絕對 (D)	608
扁 (VH)	608
違反 (VJ)	608
內 (Na)	607
民間 (Nc)	606
為 (VG)	603
肯定 (VK)	602
辯論 (VE)	601
被 (Na)	601
不當 (VH)	601
改變 (Na)	600
人選 (Na)	599
名單 (Na)	598
必 (D)	598
團 (Na)	597
明年 (Nd_DATE)	596
一直 (D)	595
企業 (Na)	595
日 (Nf)	594
世代 (Na)	594
非 (D)	594
辦 (VC)	593
差距 (Na)	593
服務 (VC)	593
不但 (Cbb)	592
關鍵 (Na)	592
投入 (VC)	590
擴大 (VC)	588
回應 (VC)	588
本 (D)	587
桃園 (Nc_LOCATION)	586
總 (A)	585
關心 (VK)	584
再次 (D)	584
空間 (Na)	584
之後 (Ng)	583
正常 (VH)	583
追求 (VC)	583
反 (VC)	582
